Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,Národ Sobě
584304,Bavory,334,236,236,42,0,0,10,0,10,22,6,6,4,0,0,20,0,14,66,1,0,15,0,0,0,1,18,0,1
584321,Boleradice,737,487,483,47,3,1,25,2,28,31,4,7,7,1,1,30,0,18,145,2,1,72,0,0,3,4,46,2,3
584339,Borkovany,653,397,396,19,1,0,26,0,16,34,8,5,11,2,1,31,0,8,128,0,4,46,0,2,1,0,51,2,0
584347,Bořetice,1069,725,716,93,0,0,54,0,28,64,12,4,9,3,2,85,1,21,142,0,2,114,1,1,1,1,78,0,0
584355,Brod nad Dyjí,444,233,231,12,0,0,8,0,11,28,0,3,2,0,1,19,0,4,83,0,2,9,1,0,1,0,47,0,0
584363,Brumovice,780,451,444,60,0,0,44,0,21,37,5,0,2,0,0,39,0,15,103,0,1,46,0,0,1,0,70,0,0
584291,Břeclav,20468,11568,11502,1230,16,13,986,5,396,1102,124,84,206,5,15,972,4,377,3634,63,14,608,7,51,16,13,1531,24,6
584371,Březí,1356,828,820,100,0,1,45,0,49,97,4,12,15,0,1,65,0,13,285,1,1,45,0,4,2,2,78,0,0
584380,Bulhary,648,352,352,20,1,0,32,0,17,63,2,5,7,0,0,22,0,0,129,0,0,8,0,0,1,0,44,1,0
584401,Diváky,403,277,277,19,0,0,35,0,2,39,3,6,3,1,0,14,1,5,99,0,1,13,0,4,0,1,31,0,0
584410,Dobré Pole,349,205,203,12,0,1,13,0,4,34,2,7,1,0,0,16,0,1,76,2,0,3,0,0,0,3,28,0,0
584428,Dolní Dunajovice,1461,877,874,127,0,0,51,0,28,84,10,11,6,1,0,79,1,49,237,1,0,41,0,2,1,2,137,5,1
584436,Dolní Věstonice,269,161,159,12,0,1,7,0,8,12,1,2,2,0,0,18,2,6,52,0,0,5,0,1,0,0,30,0,0
584444,Drnholec,1434,723,721,87,0,0,43,0,30,71,12,13,17,1,0,46,0,21,275,1,2,32,0,2,0,0,68,0,0
584452,Hlohovec,1051,575,573,91,1,0,47,1,19,34,8,2,6,0,0,46,0,7,161,0,2,103,0,0,0,1,44,0,0
584461,Horní Bojanovice,545,381,381,49,0,0,29,0,12,54,2,6,6,0,6,29,0,6,115,1,0,24,0,0,2,1,38,1,0
